generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,2,3,1
3000,3,4,1
4000,1,2,1
5000,1,2,1
6000,1,4,1
7000,1,3,1
8000,1,2,1
9000,1,3,1
10000,1,2,1
11000,2,4,1
12000,2,4,1
13000,2,3,1
14000,1,4,1
15000,1,4,1
16000,1,3,1
17000,2,4,1
18000,1,3,1
19000,2,3,1
20000,2,3,1
21000,2,3,1
22000,1,2,1
23000,1,2,1
24000,1,3,1
25000,3,4,1
26000,1,3,1
27000,1,3,1
28000,1,4,1
29000,1,2,1
30000,1,4,1
31000,1,3,1
32000,1,2,1
33000,2,3,1
34000,1,3,1
35000,1,2,1
36000,1,2,1
37000,1,2,1
38000,2,4,1
39000,3,4,1
40000,1,2,1
41000,2,4,1
42000,2,3,1
43000,2,3,1
44000,2,4,1
45000,3,4,1
46000,1,2,1
47000,1,4,1
48000,3,4,1
49000,2,4,1
50000,2,4,1
51000,1,4,1
52000,1,2,1
53000,3,4,1
54000,2,4,1
55000,1,3,1
56000,3,4,1
57000,1,4,1
58000,1,3,1
59000,1,4,1
60000,2,4,1
61000,3,4,1
62000,1,3,1
63000,1,4,1
64000,3,4,1
65000,1,4,0
66000,1,2,1
67000,1,3,1
68000,2,3,1
69000,1,4,1
70000,2,4,1
71000,3,4,1
72000,2,4,1
73000,2,4,1
74000,1,3,1
75000,2,4,1
76000,2,4,1
77000,2,3,1
78000,3,4,1
79000,1,2,1
80000,1,4,1
81000,1,2,1
82000,1,2,1
83000,2,3,1
84000,1,4,1
85000,1,2,1
86000,1,3,1
87000,3,4,1
88000,3,4,1
89000,1,3,1
90000,3,4,1
91000,2,4,1
92000,1,2,1
93000,1,2,1
94000,3,4,1
95000,1,4,1
96000,1,4,1
97000,1,2,1
98000,1,2,1
99000,3,4,1
100000,2,3,1
101000,2,3,1
102000,2,4,1
103000,2,3,1
104000,1,2,1
105000,1,4,1
106000,3,4,1
107000,2,4,1
108000,3,4,1
109000,3,4,1
110000,3,4,1
111000,3,4,1
112000,3,4,1
113000,1,4,1
114000,3,4,1
115000,3,4,1
116000,1,4,1
117000,2,3,1
118000,1,2,1
119000,1,4,1
120000,2,4,1
121000,3,4,1
122000,1,2,1
123000,1,3,0
124000,1,2,1
125000,2,4,0
126000,1,2,0
127000,2,3,1
128000,2,4,1
129000,2,3,1
130000,2,3,1
131000,2,4,1
132000,1,3,1
133000,1,4,1
134000,1,3,1
135000,1,2,1
136000,2,4,1
137000,1,4,1
138000,1,4,1
139000,3,4,1
140000,1,3,1
141000,1,2,1
142000,2,3,1
143000,2,3,1
144000,1,3,1
145000,1,3,1
146000,1,2,1
147000,1,2,1
