generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.534546,-989.297,1,1
1000,0,-0.762015,-578.661,0.587733,0.262737
2000,1,-0.882516,-576.253,1.59447,0.293
3000,1,1.02104,-574.644,0.943058,0.395
4000,0,0.644491,-577.386,0.0948076,0.262434
5000,0,-0.377126,-578.146,1.07008,0.3355
6000,0,-0.710918,-579.356,1.71128,0.311833
7000,0,0.545736,-579.367,0.567084,0.243108
8000,0,0.825738,-578.335,0.0487596,0.198
9000,0,0.140742,-577.415,0.433586,0.189667
10000,0,-0.300593,-577.551,0.206141,0.196
11000,0,-0.428849,-578.463,0.317562,0.194
12000,0,-0.278392,-581.243,0.680783,0.186
13000,0,0.224961,-578.33,0.68021,0.172
14000,0,-2.48968,-579.109,0.505564,0.212667
15000,0,-0.0198338,-577.172,0.538445,0.192
16000,0,0.541516,-578.711,0.252618,0.203286
17000,0,0.197583,-580.3,0.657805,0.173
18000,0,0.327808,-578.789,0.0740619,0.179333
19000,0,-0.0288234,-580.416,0.787531,0.18
20000,0,0.329886,-581.703,0.295942,0.183
21000,0,-1.01035,-578.541,0.836971,0.18
22000,1,0.656078,-574.791,1.1906,0.2788
23000,0,0.317036,-577.591,0.274913,0.187
24000,2,-1.33097,-578.572,1.30417,0.2228
25000,1,-0.491711,-567.388,1.30606,0.33
26000,1,0.989605,-568.151,0.861727,0.229333
27000,1,1.21612,-566.092,0.209002,0.387
28000,1,0.884751,-563.096,0.338774,0.3284
29000,1,1.39463,-566.44,0.155635,0.348143
30000,2,0.456511,-565.985,1.04309,0.387333
31000,1,0.889754,-567.023,1.09672,0.4144
32000,1,-0.979718,-565.028,1.16121,0.392
33000,1,0.0415566,-567.813,0.964232,0.331
34000,1,1.16004,-564.698,0.358223,0.366667
35000,1,1.19973,-565.497,0.709683,0.3618
36000,1,0.591893,-567.132,1.19852,0.3795
37000,2,-2.62238,-572.728,2.7051,0.368
38000,1,0.349277,-565.065,1.89413,0.411
39000,1,1.87746,-567.657,0.242327,0.366
40000,1,0.2179,-571.844,0.507486,0.342364
41000,1,-0.143343,-570.686,0.156921,0.35
42000,2,-1.50526,-563.224,1.57167,0.336
43000,3,-6.47274,-564.678,0.796905,0.378
44000,2,-2.73589,-564.58,1.63788,0.371
45000,2,-2.13486,-564.502,0.987105,0.316
46000,2,-4.74316,-563.617,1.85931,0.377143
47000,1,0.625087,-566.321,0.51311,0.403818
48000,1,1.26544,-570.026,0.776152,0.387
49000,1,1.21714,-566.358,0.778947,0.391
50000,2,-2.15215,-566.036,1.79483,0.424
51000,4,0.430833,-565.159,1.69629,0.391611
52000,3,0.97603,-556.653,1.57162,0.412714
53000,3,0.294227,-562.883,2.63484,0.504
54000,2,-0.133965,-561.298,1.56822,0.44
55000,1,0.281564,-569.084,0.240414,0.413
56000,2,-0.264652,-567.482,1.41195,0.433
57000,2,0.615826,-563.126,1.30712,0.410667
58000,2,1.94922,-560.316,0.509991,0.464143
59000,1,1.88427,-566.309,0.447245,0.416
60000,1,0.122922,-568.948,1.51021,0.361
61000,1,0.2149,-566.08,0.400979,0.388
62000,2,2.09116,-560.688,0.609035,0.38325
63000,3,2.3717,-550.352,0.433564,0.4405
64000,3,0.512186,-551.448,2.08597,0.414
65000,4,-2.01916,-549.888,1.01071,0.454
66000,5,-2.23554,-551.483,4.16413,0.454125
67000,2,2.68579,-560.483,0.353137,0.3852
68000,2,0.374551,-561.611,2.36615,0.418
69000,1,0.740575,-566.221,0.38745,0.432
70000,1,0.866708,-568.34,0.953596,0.382
71000,2,-1.8822,-569.613,1.13966,0.388
72000,2,0.267931,-566.644,2.43607,0.349
73000,5,-2.08243,-569.205,4.15856,0.481
74000,4,-0.327019,-552.592,2.65932,0.40925
75000,2,-0.502279,-556.777,2.24835,0.406
76000,2,1.19964,-558.581,0.680323,0.395
77000,2,-0.488919,-556.744,1.65606,0.359
78000,2,-0.223502,-562.236,0.852606,0.345
79000,1,0.246843,-568.661,1.54373,0.370167
80000,3,-3.05009,-555.161,2.15238,0.374
81000,2,0.83019,-554.709,1.24115,0.349667
82000,4,0.852762,-562.387,2.02507,0.3955
83000,2,0.288915,-559.29,0.578669,0.369
84000,1,-0.138145,-565.606,1.5806,0.325
85000,3,-1.03726,-554.069,1.59454,0.397
86000,2,1.85894,-556.148,0.470784,0.4032
87000,2,1.89453,-557.114,0.405613,0.358
88000,2,0.587291,-557.597,0.906689,0.354
89000,2,-1.62254,-567.208,1.9577,0.363
90000,4,-7.62749,-559.919,5.10854,0.342
91000,5,-3.69474,-560.449,3.25986,0.416
92000,3,-4.25627,-559.407,3.38696,0.32575
93000,2,-1.91434,-563.547,3.0928,0.3655
94000,3,-2.50903,-559.98,1.05895,0.367
95000,2,-0.137479,-555.157,2.30839,0.394167
96000,2,1.3001,-558.483,0.741468,0.38
97000,2,1.17643,-554.531,1.57062,0.3722
98000,3,-2.91148,-561.41,1.75746,0.356
99000,2,-0.25148,-558.746,1.2246,0.393
100000,2,1.18085,-562.522,0.816343,0.374
101000,2,1.13305,-557.624,1.13461,0.367
102000,2,-0.055265,-557.495,0.553372,0.376
103000,3,1.6774,-552.277,1.73211,0.415
104000,4,-0.620535,-548.952,3.53185,0.372111
105000,3,-0.625487,-554.621,1.25751,0.376875
106000,3,0.904661,-553.319,1.24035,0.368
107000,3,-0.56039,-549.359,1.40155,0.381
108000,3,-4.7451,-555.366,5.55262,0.385
109000,2,-1.41523,-558.868,1.16145,0.356
110000,2,-0.893953,-559.142,1.20238,0.356
111000,2,0.978878,-557.567,0.695395,0.377
112000,2,-1.2953,-559.742,2.56962,0.36
113000,2,-0.677098,-554.806,1.29484,0.401556
114000,2,-0.426035,-555.616,1.18137,0.377
115000,2,1.39866,-553.548,0.894851,0.379
116000,2,0.591948,-559.03,0.980604,0.36925
117000,2,1.43913,-552.524,0.557827,0.361
118000,2,1.68628,-557.719,0.514529,0.3848
119000,3,1.49464,-560.552,1.00109,0.402
120000,2,0.150977,-556.408,1.95802,0.415
121000,3,0.580895,-553.936,0.496804,0.408
122000,3,0.899628,-557.699,1.76616,0.3795
123000,4,-0.564581,-560.572,1.64768,0.407
124000,2,0.409585,-555.453,0.444308,0.416667
125000,2,-1.04205,-554.163,0.961142,0.383
126000,3,-0.00765539,-554.358,2.06661,0.456
127000,3,0.940693,-554.768,1.88687,0.413
128000,3,-1.62099,-555.984,1.20365,0.43
129000,2,1.878,-554.406,0.795872,0.408
130000,2,-2.19163,-558.035,3.27964,0.34
131000,2,-1.40296,-560.164,1.09376,0.386
132000,2,-2.8683,-555.126,3.78189,0.381667
133000,2,-0.721538,-561.998,0.672637,0.37998
134000,2,-1.5773,-555.852,2.32061,0.336
135000,2,-2.85078,-557.17,1.82315,0.393833
136000,2,-2.97837,-556.491,3.12284,0.325
137000,2,-0.137087,-556.313,0.556524,0.377333
138000,2,-0.370239,-558.654,0.959958,0.3605
139000,3,-2.03885,-555.441,1.66964,0.381
140000,2,-0.745025,-557.422,0.860919,0.385333
141000,2,1.85539,-558.731,0.631542,0.376
142000,2,2.61089,-555.86,0.383299,0.403
143000,2,0.692382,-557.365,0.748531,0.388
144000,2,-1.80929,-559.016,1.09602,0.3756
145000,2,-1.45197,-554.79,1.8669,0.3845
146000,2,-1.02712,-556.711,3.57246,0.365167
147000,2,-0.115538,-555.266,0.794849,0.3905
148000,2,-0.531761,-558.578,1.63727,0.307
149000,2,1.52726,-556.31,0.905665,0.381
150000,2,0.363973,-555.465,1.69819,0.352
151000,2,2.28452,-555.316,0.593322,0.404
152000,2,-0.773571,-556.31,2.77412,0.379474
153000,2,-0.371531,-555.454,1.90741,0.4
154000,3,-1.43362,-558.815,1.13752,0.37
155000,4,-2.21389,-545.491,2.30175,0.4385
156000,3,-1.89805,-556.007,3.84896,0.380625
157000,2,0.202032,-561.555,0.851468,0.400667
158000,2,-0.483957,-555.024,0.926344,0.369833
159000,3,1.8565,-548.527,0.936113,0.42175
160000,5,-6.12666,-551.265,3.74152,0.459
161000,3,0.433548,-547.899,2.84991,0.424
162000,3,1.64536,-548.479,1.3158,0.41
163000,3,1.66588,-549.613,1.41888,0.414286
164000,3,-0.527583,-551.919,2.36799,0.366
165000,3,-2.06825,-548.238,3.89022,0.41925
166000,4,0.273203,-550.252,1.6226,0.438
167000,4,0.12285,-551.783,2.71962,0.461
168000,3,1.2432,-550.667,1.7956,0.417
169000,3,1.2468,-548.94,1.16133,0.404
170000,3,0.0755835,-553.473,2.16378,0.416
171000,3,-0.492786,-552.675,3.19763,0.415778
